"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 30 11:44:07 EET 2020","Fri Oct 30 11:44:08 EET 2020","222","","GenreTest","","genre","","Verify Saving and Deleting a genre","Location - features/genre.feature:3"
"passed","Fri Oct 30 11:44:07 EET 2020","Fri Oct 30 11:44:07 EET 2020","364","","AuthorTest","","author","","Verify Saving and Deleting an author","Location - features/author.feature:3"
